Name; A0; P0; k; dH; C0
4-NO2C6H4N2+ TsO- 85 Sample2 R1 Nitrogen 3-24-16 ; 3.1123 ; 17.554 ; 0.06765 ; 260.8 ; 3.20e-5 
4-NO2C6H4N2+ TsO- 85 Sample2 R0 Nitrogen 4-12-16 ; 3.1123 ; 12.822 ; 0.08781 ; 261.4 ; 1.79e-5 
4-NO2C6H4N2+ TsO- 85 Sample2 R1 Nitrogen 4-14-16 ; 3.1123 ; 11.071 ; 0.08269 ; 226.8 ; 1.90e-5 
4-NO2C6H4N2+ TsO- 85 Sample2 R0 Nitrogen 4-18-16 ; 3.1123 ; 10.624 ; 0.09325 ; 239.7 ; 1.53e-5 
4-NO2C6H4N2+ TsO- 85 Sample2 R1 Nitrogen 4-9-16 ; 3.1123 ; 11.299 ; 0.08107 ; 229.3 ; 1.95e-5 
4-NO2C6H4N2+ TsO- 85 Sample3 R0 Nitrogen 3-18-16 ; 3.1123 ; 14.435 ; 0.07164 ; 245.0 ; 2.64e-5 
4-NO2C6H4N2+ TsO- 85 Sample3 R0 Nitrogen 3-22-16 ; 3.1123 ; 11.673 ; 0.07698 ; 225.75 ; 2.1582e-5 
4-NO2C6H4N2+ TsO- 85 Sample3 R0 Nitrogen 3-11-16 ; 3.1123 ; 10.619 ; 0.08650 ; 236.8 ; 1.67e-5 
4-NO2C6H4N2+ TsO- 85 Sample3 R1 Nitrogen 3-16-16 ; 3.1123 ; 7.0954 ; 0.08410 ; 228.0 ; 1.19e-5 
4-NO2C6H4N2+ TsO- 85 Sample3 R1 Nitrogen 2-1-16 ; 3.1123 ; 4.1518 ; 0.1033 ; 230.7 ; 5.60e-6 
4-NO2C6H4N2+ TsO- 85 Sample3 R2 Nitrogen 5-13-16 ; 3.1123 ; 14.375 ; 0.08601 ; 244.1 ; 2.20e-5 
4-NO2C6H4N2+ TsO- 85 Sample3 R2 Nitrogen 5-17-16 ; 3.1123 ; 8.2483 ; 0.08475 ; 238.3 ; 1.31e-5 
