dG; W; X; Y; Z
-20.81; 0.000; 28.224225; 23.018954; 68.589165
-21.73; 0.000; 5.872956; 21.150180; 60.880345
-22.65; 0.000; 7.577108; 37.869698; 96.155577
-23.91; 0.001; 30.336834; 28.162355; 60.784205
-24.33; 0.001; 12.269169; 40.701429; 28.201965
-24.41; 0.001; 24.229303; 19.122700; 81.575674
-24.49; 0.001; 6.576765; 21.310202; 55.335016
-24.83; 0.001; 27.737074; 38.961333; 34.434331
-25.12; 0.001; 28.643795; 36.846102; 33.754376
-25.29; 0.001; 26.510234; 35.636819; 103.935945
-25.33; 0.001; 6.126099; 36.352394; 53.737388
-25.37; 0.001; 6.969490; 39.552855; 94.886447
-25.41; 0.001; 28.153025; 23.135915; 65.268607
-27.00; 0.002; 26.966926; 21.822569; 66.041811
-27.26; 0.002; 8.385799; 41.690174; 56.458095
-27.93; 0.003; 27.433550; 20.251374; 90.778493
-28.14; 0.003; 21.502851; 35.597090; 15.448074
-28.64; 0.004; 8.206743; 28.456083; 97.547207
-28.81; 0.004; 6.437410; 36.876009; 32.480811
-29.10; 0.005; 29.007398; 31.584804; 105.170089
-29.18; 0.005; 8.546945; 26.437914; 101.558554
-29.35; 0.005; 27.200139; 19.113586; 68.197507
-29.77; 0.006; 6.339196; 37.232360; 61.152227
-30.19; 0.007; 18.308859; 34.128543; 13.940119
-30.35; 0.007; 4.340819; 33.793520; 97.316055
-30.48; 0.008; 27.595984; 35.176207; 23.938488
-30.81; 0.009; 7.974399; 30.419377; 102.587979
-30.90; 0.009; 7.032491; 39.216601; 60.781484
-30.94; 0.009; 25.048073; 35.576417; 20.326886
-31.23; 0.010; 9.818034; 38.434539; 23.123394
-31.40; 0.011; 6.792150; 17.787759; 65.827447
-31.86; 0.013; 5.023050; 35.167098; 55.702240
-31.95; 0.014; 29.616525; 27.231132; 101.323925
-32.32; 0.016; 25.677133; 32.092260; 17.548592
-32.49; 0.017; 10.935283; 37.542626; 22.176877
-32.62; 0.018; 14.554357; 38.338976; 18.184314
-32.66; 0.018; 6.164798; 39.189922; 54.814127
-32.66; 0.018; 11.468322; 41.057338; 25.717658
-33.87; 0.029; 7.343649; 26.896036; 101.337609
-34.04; 0.031; 25.911055; 17.578993; 86.134057
-34.50; 0.037; 28.262194; 21.235528; 100.569086
-34.71; 0.040; 11.893684; 41.796354; 25.859455
-35.25; 0.050; 10.214248; 37.447353; 17.823759
-35.55; 0.056; 12.002970; 38.859569; 18.753334
-35.63; 0.058; 15.226095; 35.790515; 14.277569
-35.88; 0.063; 4.307036; 34.259409; 58.423432
-36.80; 0.091; 1.802985; 31.762363; 19.281139
-36.89; 0.094; 6.148957; 38.065814; 29.986416
-37.01; 0.098; 18.913965; 39.554379; 16.069512
-37.51; 0.120; 16.587716; 38.300491; 16.273754
