Summary
Name,"Ampoule (4-18-16) NO2-Ph-N2-OTs V2 PK1.rslt"
Start time,2016 апр 18 - 14:24
End time,2016 апр 20 - 12:06
Operator,"Alex"
Results file path,"C:\Users\S\Documents\Diazo\Ampoule (4-18-16) NO2-Ph-N2-OTs V2 PK1.rslt"
General Experiment Info
Bath temperature,85°C
,Sample - Ch 1
Total mass,10mg
Name,"NO2-Ph-N2-OTs V2 PK1"
,Component - NO2-Ph-N2-OTs V2 PK1
Mass,10mg
Name,"NO2-Ph-N2-OTs V2 PK1"
Physical shape,"Powder"

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","Time markers"
-1861.94107270241,84.9999999722958,NaN,NaN,NaN,NaN,""
-1861.79741930962,84.9999999754321,3.01563679943791E-08,NaN,3.01563679943791E-06,NaN,""
-1834.52229166031,85.0000005709168,2.87138625425481E-08,NaN,2.87138625425481E-06,NaN,""
-1820.81290125847,85.000000251953,2.78982194953092E-08,NaN,2.78982194953092E-06,NaN,""
-1807.10351061821,84.9999999329892,2.70813627613684E-08,NaN,2.70813627613684E-06,NaN,""
-1793.39411997795,84.9999999563026,2.61017038760805E-08,NaN,2.61017038760805E-06,NaN,""
-1779.68472933769,84.999999979616,2.51194042447242E-08,NaN,2.51194042447242E-06,NaN,""
-1765.97533869743,85.0000001091796,2.45009348135952E-08,NaN,2.45009348135952E-06,NaN,""
-1752.26594805717,85.0000002387431,2.38893998863756E-08,NaN,2.38893998863756E-06,NaN,""
-1738.55655741692,85.0000000227132,2.32148598603496E-08,NaN,2.32148598603496E-06,NaN,""
-1724.84716677666,84.9999998066834,2.253893909056E-08,NaN,2.253893909056E-06,NaN,""
-1711.1377761364,84.9999999164157,2.23679336070854E-08,NaN,2.23679336070854E-06,NaN,""
-1697.42838549614,85.000000026148,2.2209442896699E-08,NaN,2.2209442896699E-06,NaN,""
-1683.71899485588,84.999999868695,2.17282129322263E-08,NaN,2.17282129322263E-06,NaN,""
-1670.00960421562,84.9999997112419,2.1238051747568E-08,NaN,2.1238051747568E-06,NaN,""
-1656.30021357536,84.9999997591253,2.05570021737215E-08,NaN,2.05570021737215E-06,NaN,""
-1642.5908229351,84.9999998070086,1.98701158474215E-08,NaN,1.98701158474215E-06,NaN,""
-1628.88143229485,84.999999737501,1.97417251389468E-08,NaN,1.97417251389468E-06,NaN,""
-1615.17204165459,84.9999996679933,1.96320422584892E-08,NaN,1.96320422584892E-06,NaN,""
