Ampoule (1-12-16) CH3O-Ph-N2-Tf-85; 3.5185; 11.379; 0.0128; 105.8; 2.39e-4
Ampoule (1-21-16) NO2-Ph-N2-BF4-85; 4.2208; 180.42; 0.07212; 146.8; 4.037e-4
Ampoule (12-16-15)  NO2-Ph-N2-BF4-75; 4.2208; 39.214; 0.01860; 173.1; 2.89e-4
Ampoule (12-19-15) NO2-Ph-N2-Ts-75; 3.1123; 1.9569; 0.02894; 252.6; 8.60e-6
Ampoule (12-22-15) NO2-Ph-N2-Tf-75; 3.3424; 0.8995; 0.03156; 199.6; 4.27e-6
Ampoule (12-25-15) CH3O-Ph-N2-Tf-75; 3.5185; 1.4768; 0.002077; 183.1; 1.10e-4
Ampoule (2-11-16) NO2-Ph-N2-BF4-80; 4.2208; 89.598; 0.03438; 156.0; 3.956e-4
Ampoule (2-1-16) NO2-Ph-N2-Ts-85; 3.1123; 4.1518; 0.1033; 230.7; 5.60e-6
Ampoule (2-12-16) NO2-Ph-N2-Ts-80; 3.1123; 2.7446; 0.05385; 232.4; 7.05e-6
Ampoule (2-13-16) NO2-Ph-N2-Tf-80; 3.3424; 1.3106; 0.0630; 235.1; 2.65e-6
Ampoule (2-15-16) CH3O-Ph-N2-Tf-80; 3.5185; 3.1995; 0.004436; 183.2; 1.12e-4
Ampoule (2-9-16) NO2-Ph-N2-Tf-85; 3.3424; 7.9523; 0.1168; 249.84; 8.1523e-6
Ampoule (3-11-16) NO2-Ph-N2-OTs V; 3.1123; 10.619; 0.08650; 236.8; 1.67e-5
Ampoule (3-14-16) NO2-Ph-N2-OTs V; 3.1123; 5.8523; 0.08967; 219.5; 9.55e-6
Ampoule (3-16-16) NO2-Ph-N2-OTs V; 3.1123; 7.0954; 0.08410; 228.0; 1.19e-5
Ampoule (3-18-16) NO2-Ph-N2-OTs V; 3.1123; 14.435; 0.07164; 245.0; 2.64e-5
Ampoule (3-22-16) NO2-Ph-N2-OTs V; 3.1123; 11.673; 0.07698; 225.75; 2.1582e-5
Ampoule (3-24-16) NO2-Ph-N2-OTs V2; 3.1123; 17.554; 0.06765; 260.8; 3.20e-5
