t; T; m; Hf; dT
6.66667E-4;29.78779;9.625278;-59.21180;-0.1347581
.004333333;29.89890;9.623981;-58.54610;-.05276048
0.01266666;30.00183;9.622082;-58.51654;-.04911732
0.02100000;30.11039;9.620245;-58.46998;-.04339048
0.02933333;30.21678;9.618781;-58.40652;-.03559145
0.03766667;30.31675;9.617579;-58.33214;-.02645844
0.04600000;30.42289;9.616328;-58.24391;-.01563239
0.05433334;30.51900;9.614824;-58.15036;-4.1563E-3
0.06266666;30.62176;9.613218;-58.04646;.008581072
0.07100000;30.71946;9.611759;-57.94074;0.02153772
0.07933334;30.82318;9.610631;-57.82832;0.03530996
0.08766666;30.92133;9.609999;-57.72018;0.04854941
0.09600000;31.02430;9.609369;-57.61532;0.06137660
0.1043333;31.11692;9.608243;-57.52263;0.07270811
0.1126666;31.21220;9.606562;-57.43442;0.08348580
0.1210000;31.30945;9.604745;-57.35474;0.09321444
0.1293333;31.39805;9.603329;-57.28271;0.1020027
0.1376667;31.49310;9.602455;-57.21730;0.1099786
0.1460000;31.59040;9.601759;-57.15612;0.1174357
0.1543334;31.68134;9.600850;-57.10518;0.1236413
0.1626666;31.77066;9.599588;-57.05989;0.1291525
0.1710000;31.85740;9.598130;-57.02300;0.1336413
0.1793333;31.95737;9.596789;-56.98592;0.1381506
0.1876666;32.04672;9.595684;-56.95918;0.1414006
0.1960000;32.13692;9.594669;-56.93842;0.1439233
0.2043333;32.22142;9.593524;-56.92541;0.1455028
0.2126666;32.30948;9.592144;-56.88670;0.1502260
0.2210000;32.39428;9.590762;-56.85012;0.1546892
0.2293333;32.48444;9.589603;-56.81205;0.1593332
0.2376666;32.57111;9.588684;-56.77584;0.1637506
0.2460000;32.65121;9.587803;-56.74337;0.1677114
0.2543334;32.73254;9.586762;-56.71038;0.1717365
0.2626667;32.81948;9.585540;-56.67623;0.1759011
0.2710000;32.89861;9.584278;-56.64501;0.1797084
0.2793333;32.98143;9.583137;-56.61360;0.1835392
0.2876667;33.06102;9.582091;-56.58398;0.1871530
0.2960000;33.14335;9.581018;-56.55270;0.1909668
0.3043333;33.22524;9.579801;-56.52304;0.1945839
0.3126666;33.30271;9.578475;-56.49433;0.1980835
0.3210000;33.38294;9.577199;-56.46609;0.2015275
0.3293334;33.45938;9.576122;-56.43963;0.2047521
0.3376666;33.53284;9.575209;-56.41336;0.2079560
0.3460000;33.61504;9.574299;-56.38538;0.2113657
0.3543334;33.69622;9.573249;-56.35812;0.2146889
0.3626666;33.77426;9.572025;-56.33094;0.2180018
0.3710000;33.84854;9.570755;-56.30678;0.2209481
0.3793334;33.92495;9.569556;-56.28207;0.2239592
0.3876666;33.99566;9.568457;-56.25822;0.2268662
0.3960000;34.07133;9.567431;-56.23422;0.2297900
0.4043333;34.14852;9.566366;-56.20992;0.2327518
0.4126667;34.22271;9.565303;-56.18380;0.2359401
0.4210000;34.29037;9.564201;-56.14726;0.2404077
0.4293333;34.36172;9.563061;-56.12598;0.2430010
0.4376666;34.43792;9.561906;-56.09215;0.2471314
0.4460000;34.51210;9.560790;-56.05870;0.2512171
0.4543334;34.57708;9.559741;-56.03900;0.2536171
0.4626666;34.65133;9.558768;-56.00568;0.2576856
0.4710000;34.71982;9.557785;-55.97414;0.2615344
0.4793334;34.78547;9.556776;-55.95587;0.2637606
0.4876666;34.86250;9.555736;-55.92213;0.2678785
0.4960000;34.92520;9.554535;-55.89230;0.2715194
0.5043333;34.99366;9.553285;-55.87376;0.2737783
0.5126667;35.06018;9.552141;-55.84424;0.2773812
0.5210000;35.12971;9.551152;-55.81448;0.2810114
0.5293334;35.19482;9.550156;-55.79692;0.2831485
0.5376668;35.26208;9.549097;-55.76887;0.2865705
0.5460000;35.32695;9.547924;-55.74234;0.2898046
0.5543332;35.39079;9.546707;-55.72621;0.2917680
0.5626668;35.45671;9.545569;-55.70052;0.2948982
0.5710000;35.51856;9.544582;-55.67678;0.2977922
0.5793332;35.58404;9.543749;-55.66072;0.2997463
0.5876668;35.64700;9.542882;-55.63784;0.3025344
0.5960000;35.71137;9.541757;-55.61548;0.3052580
0.6043334;35.76430;9.540376;-55.60274;0.3068082
0.6126668;35.82658;9.539025;-55.58206;0.3093260
0.6210000;35.88916;9.537869;-55.56204;0.3117625
0.6293332;35.95535;9.536991;-55.54671;0.3136276
0.6376668;36.00850;9.536297;-55.52982;0.3156838
0.6460000;36.07013;9.535454;-55.51191;0.3178635
0.6543334;36.13275;9.534320;-55.49764;0.3195994
0.6626668;36.19192;9.532991;-55.48115;0.3216049
0.6710000;36.25492;9.531836;-55.46465;0.3236129
0.6793334;36.31301;9.531129;-55.45168;0.3251900
0.6876666;36.36750;9.530670;-55.43800;0.3268536
0.6960000;36.42694;9.530092;-55.42474;0.3284666
0.7043334;36.47814;9.529181;-55.41260;0.3299434
0.7126668;36.53666;9.528009;-55.39971;0.3315109
0.7210000;36.59561;9.526820;-55.38715;0.3330386
0.7293334;36.65094;9.525821;-55.37536;0.3344723
0.7376666;36.70338;9.525001;-55.36419;0.3358316
0.7460000;36.76378;9.524298;-55.35132;0.3373968
0.7543334;36.81517;9.523422;-55.34037;0.3387290
0.7626666;36.86534;9.522272;-55.32968;0.3400291
0.7710000;36.91584;9.521100;-55.31891;0.3413380
0.7793334;36.97552;9.520142;-55.30620;0.3428846
0.7876668;37.02786;9.519507;-55.29504;0.3442412
0.7960000;37.08469;9.518954;-55.28293;0.3457140
0.8043334;37.13816;9.518197;-55.27154;0.3470997
0.8126668;37.19214;9.517206;-55.26004;0.3484988
