t; T; m; Hf; dT; uV; Purge
6.66667E-4;32.93651;5.496618;-17.58648;-2.387413;-14.13998;99.92246
.004333333;33.01209;5.496550;-17.49073;-2.372759;-14.06885;100.0888
0.01266666;33.07597;5.496093;-17.48692;-2.372202;-14.06606;99.92406
0.02100000;33.14158;5.495068;-17.48103;-2.371322;-14.06170;100.0451
0.02933333;33.20668;5.495374;-17.47282;-2.370094;-14.05563;100.0039
0.03766667;33.25793;5.495830;-17.46231;-2.368530;-14.04786;100.0301
0.04600000;33.33187;5.495500;-17.44942;-2.366612;-14.03835;99.97972
0.05433334;33.40055;5.495325;-17.43446;-2.364368;-14.02727;99.98934
0.06266666;33.46700;5.495092;-17.41730;-2.361788;-14.01457;100.0072
0.07100000;33.52689;5.495066;-17.39805;-2.358890;-14.00032;99.95530
0.07933334;33.58028;5.494941;-17.37654;-2.355662;-13.98440;100.0586
0.08766666;33.65338;5.494970;-17.35434;-2.352312;-13.96794;99.97056
0.09600000;33.71022;5.495092;-17.33216;-2.348968;-13.95151;100.0078
0.1043333;33.76794;5.495260;-17.31028;-2.345672;-13.93529;100.0454
0.1126666;33.82954;5.495340;-17.28867;-2.342415;-13.91928;99.95262
0.1210000;33.88918;5.495276;-17.26729;-2.339180;-13.90341;100.0073
0.1293333;33.94578;5.495078;-17.24617;-2.335986;-13.88774;100.0190
0.1376667;34.01021;5.494866;-17.22456;-2.332749;-13.87175;99.91447
0.1460000;34.06990;5.494770;-17.20296;-2.329519;-13.85576;100.0723
0.1543334;34.12906;5.494806;-17.18154;-2.326314;-13.83990;100.0223
0.1626666;34.18556;5.494946;-17.16041;-2.323146;-13.82425;99.89204
0.1710000;34.24380;5.495014;-17.13901;-2.319953;-13.80842;100.0477
0.1793333;34.30343;5.494992;-17.11822;-2.316840;-13.79302;100.0190
0.1876666;34.36020;5.494859;-17.09740;-2.313723;-13.77759;100.0344
0.1960000;34.41678;5.494680;-17.07644;-2.310596;-13.76208;99.88369
0.2043333;34.47315;5.494576;-17.05552;-2.307478;-13.74660;100.0725
0.2126666;34.52660;5.494615;-17.03450;-2.304356;-13.73105;100.0035
0.2210000;34.58612;5.494776;-17.01408;-2.301308;-13.71592;99.96900
0.2293333;34.63716;5.494952;-16.99383;-2.298289;-13.70093;100.0752
0.2376666;34.69197;5.495035;-16.97333;-2.295251;-13.68578;99.94749
0.2460000;34.74660;5.494970;-16.95261;-2.292189;-13.67046;99.97339
0.2543334;34.80352;5.494843;-16.93190;-2.289132;-13.65516;100.0266
0.2626667;34.85562;5.494732;-16.91142;-2.286110;-13.64003;100.0109
0.2710000;34.90616;5.494722;-16.89074;-2.283074;-13.62477;100.0091
0.2793333;34.96250;5.494824;-16.87026;-2.280064;-13.60964;100.0078
0.2876667;35.01341;5.494937;-16.84981;-2.277062;-13.59455;99.93544
0.2960000;35.07035;5.495034;-16.82974;-2.274105;-13.57972;100.0217
0.3043333;35.11932;5.495031;-16.80960;-2.271148;-13.56484;100.0621
0.3126666;35.17417;5.494922;-16.78959;-2.268209;-13.55006;99.91816
0.3210000;35.23154;5.494807;-16.76976;-2.265292;-13.53542;99.97503
0.3293334;35.27950;5.494780;-16.75015;-2.262402;-13.52092;100.0529
0.3376666;35.33345;5.494871;-16.73079;-2.259548;-13.50660;100.0466
0.3460000;35.37718;5.495005;-16.71140;-2.256702;-13.49228;100.0052
0.3543334;35.42370;5.495100;-16.69196;-2.253850;-13.47792;99.94644
0.3626666;35.46900;5.495136;-16.67285;-2.251053;-13.46381;99.92350
0.3710000;35.52572;5.495095;-16.65412;-2.248300;-13.44996;100.0849
0.3793334;35.57550;5.494986;-16.63510;-2.245516;-13.43592;99.98892
0.3876666;35.61470;5.494900;-16.61614;-2.242749;-13.42192;99.99848
0.3960000;35.67172;5.494880;-16.59729;-2.240002;-13.40802;99.98488
0.4043333;35.73157;5.494952;-16.57851;-2.237260;-13.39415;100.0095
0.4126667;35.77636;5.495006;-16.56000;-2.234550;-13.38048;99.98405
0.4210000;35.82335;5.495005;-16.54141;-2.231842;-13.36676;100.0220
0.4293333;35.86402;5.494952;-16.52306;-2.229162;-13.35320;99.96703
0.4376666;35.90845;5.494874;-16.50494;-2.226518;-13.33983;99.94809
0.4460000;35.95250;5.494789;-16.48625;-2.223805;-13.32604;100.0544
0.4543334;35.99726;5.494782;-16.46737;-2.221086;-13.31214;99.99660
0.4626666;36.05292;5.494836;-16.44876;-2.218395;-13.29842;100.0673
0.4710000;36.09270;5.494866;-16.43040;-2.215732;-13.28488;99.92228
0.4793334;36.13215;5.494961;-16.41196;-2.213074;-13.27130;100.0312
0.4876666;36.18382;5.494961;-16.39370;-2.210448;-13.25786;100.0360
0.4960000;36.22925;5.494907;-16.37575;-2.207864;-13.24464;99.99741
0.5043333;36.27275;5.494849;-16.35783;-2.205286;-13.23144;99.99620
0.5126667;36.32078;5.494793;-16.33994;-2.202709;-13.21826;99.98369
0.5210000;36.36559;5.494792;-16.32198;-2.200120;-13.20503;99.99822
0.5293334;36.40554;5.494828;-16.30435;-2.197578;-13.19203;100.0149
0.5376668;36.45450;5.494787;-16.28722;-2.195085;-13.17938;99.98174
0.5460000;36.49262;5.494672;-16.26985;-2.192582;-13.16658;99.99944
0.5543332;36.53262;5.494550;-16.25248;-2.190087;-13.15378;100.0437
0.5626668;36.58426;5.494318;-16.23534;-2.187610;-13.14114;99.98012
0.5710000;36.62070;5.494129;-16.21789;-2.185100;-13.12828;99.99068
0.5793332;36.66416;5.493954;-16.20026;-2.182585;-13.11531;100.0522
0.5876668;36.70203;5.493782;-16.18294;-2.180111;-13.10256;99.96289
0.5960000;36.74325;5.493652;-16.16575;-2.177666;-13.08991;99.94889
0.6043334;36.79245;5.493525;-16.14904;-2.175281;-13.07760;99.97976
0.6126668;36.83206;5.493381;-16.13234;-2.172896;-13.06529;100.0618
0.6210000;36.87269;5.493266;-16.11575;-2.170539;-13.05307;99.98078
0.6293332;36.91145;5.493159;-16.09945;-2.168218;-13.04105;100.0605
0.6376668;36.95337;5.493086;-16.08330;-2.165920;-13.02914;99.89328
0.6460000;36.99980;5.493081;-16.06664;-2.163566;-13.01687;100.0016
0.6543334;37.03570;5.493087;-16.05066;-2.161302;-13.00509;100.0750
0.6626668;37.06872;5.493136;-16.03474;-2.159048;-12.99335;100.0349
0.6710000;37.11234;5.493213;-16.01889;-2.156807;-12.98168;99.91241
0.6793334;37.15306;5.493241;-16.00280;-2.154533;-12.96981;100.0335
0.6876666;37.19776;5.493210;-15.98623;-2.152210;-12.95763;100.0298
0.6960000;37.23657;5.493183;-15.97020;-2.149950;-12.94582;99.98094
0.7043334;37.27104;5.493158;-15.95391;-2.147662;-12.93383;100.0007
0.7126668;37.30717;5.493181;-15.93767;-2.145387;-12.92189;99.99256
0.7210000;37.33219;5.493232;-15.92143;-2.143123;-12.90995;100.0635
0.7293334;37.38125;5.493299;-15.90570;-2.140928;-12.89839;99.92449
0.7376666;37.42334;5.493342;-15.88992;-2.138717;-12.88679;100.0176
0.7460000;37.46557;5.493350;-15.87439;-2.136532;-12.87535;100.0355
0.7543334;37.50015;5.493304;-15.85880;-2.134340;-12.86387;99.99111
0.7626666;37.53390;5.493287;-15.84301;-2.132132;-12.85225;99.90984
0.7710000;37.57347;5.493303;-15.82767;-2.129984;-12.84096;100.0422
0.7793334;37.60545;5.493312;-15.81213;-2.127820;-12.82955;100.0838
0.7876668;37.64232;5.493350;-15.79662;-2.125659;-12.81815;99.93384
0.7960000;37.66906;5.493408;-15.78135;-2.123534;-12.80693;100.0179
0.8043334;37.70990;5.493434;-15.76600;-2.121393;-12.79564;99.97306
0.8126668;37.74500;5.493408;-15.75046;-2.119231;-12.78422;99.98538
0.8210000;37.78196;5.493380;-15.73505;-2.117096;-12.77291;100.0483
